,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
286,Mojin: The Lost Legend,"25,93,68,448","12,43,810","25,81,24,638",2015,0.480,99.520
287,Blade Runner 2049,"25,92,39,658","9,20,54,159","16,71,85,499",2017,35.509,64.491
288,Parasite,"25,86,32,621","5,33,69,749","20,52,62,872",2019,20.635,79.365
289,Kung Fu Yoga,"25,77,43,016","3,62,657","25,73,80,359",2017,0.141,99.859
290,Annabelle,"25,70,47,661","8,42,73,813","17,27,73,848",2014,32.785,67.215
291,Lost in Hong Kong,"25,62,83,912","13,02,281","25,49,81,631",2015,0.508,99.492
292,Pegasus,"25,58,63,112",0,"25,58,63,112",2019,0.000,100.000
293,Halloween,"25,54,85,178","15,93,42,015","9,61,43,163",2018,62.368,37.632
294,Get Out,"25,54,07,969","17,60,40,665","7,93,67,304",2017,68.925,31.075
295,Us,"25,51,84,580","17,50,84,580","8,01,00,000",2019,68.611,31.389
296,Baahubali 2: The Conclusion,"25,41,58,390","2,01,86,659","23,39,71,731",2017,7.943,92.057
297,Men in Black: International,"25,38,90,701","8,00,01,807","17,38,88,894",2019,31.510,68.490
298,X-Men: Dark Phoenix,"25,24,42,974","6,58,45,974","18,65,97,000",2019,26.084,73.916
299,American Hustle,"25,11,71,807","15,01,17,807","10,10,54,000",2013,59.767,40.233
300,Journey to the West: The Demons Strike Back,"24,75,85,244","8,80,346","24,67,04,898",2017,0.356,99.644
301,Glass,"24,69,99,039","11,10,48,468","13,59,50,571",2019,44.959,55.041
302,Grown Ups 2,"24,69,84,278","13,36,68,525","11,33,15,753",2013,54.120,45.880
303,The Peanuts Movie,"24,62,33,113","13,01,78,411","11,60,54,702",2015,52.868,47.132
304,Rango,"24,57,24,603","12,34,77,607","12,22,46,996",2011,50.250,49.750
305,Teenage Mutant Ninja Turtles: Out of the Shadows,"24,56,23,848","8,20,51,601","16,35,72,247",2016,33.405,66.595
306,Dark Shadows,"24,55,27,149","7,97,27,149","16,58,00,000",2012,32.472,67.528
307,Dolittle,"24,54,38,444","7,70,47,065","16,83,91,379",2020,31.392,68.608
308,The Bravest,"24,51,79,562","2,90,217","24,48,89,345",2019,0.118,99.882
309,Pixels,"24,48,74,809","7,87,47,585","16,61,27,224",2015,32.158,67.842
310,Hercules,"24,48,19,862","7,26,88,614","17,21,31,248",2014,29.691,70.309
311,After Earth,"24,36,11,982","6,05,22,097","18,30,89,885",2013,24.844,75.156
312,Daddy's Home,"24,27,86,137","15,03,57,137","9,24,29,000",2015,61.930,38.070
313,RoboCop,"24,26,88,965","5,86,07,007","18,40,81,958",2014,24.149,75.851
314,Alien: Covenant,"24,08,91,763","7,42,62,031","16,66,29,732",2017,30.828,69.172
315,Sully,"24,07,97,623","12,50,70,033","11,57,27,590",2016,51.940,48.060
316,Assassin's Creed,"24,06,97,856","5,46,47,948","18,60,49,908",2016,22.704,77.296
317,Legend of Deification,"24,06,63,149","2,14,670","24,04,48,479",2020,0.089,99.911
318,Resident Evil: Retribution,"24,01,59,255","4,23,45,531","19,78,13,724",2012,17.632,82.368
319,Planes,"23,92,58,712","9,02,88,712","14,89,70,000",2013,37.737,62.263
320,Crazy Rich Asians,"23,85,32,921","17,45,32,921","6,40,00,000",2018,73.169,26.831
321,Silver Linings Playbook,"23,64,12,453","13,20,92,958","10,43,19,495",2012,55.874,44.126
322,Hidden Figures,"23,59,56,898","16,96,07,287","6,63,49,611",2016,71.881,28.119
323,Spy,"23,56,66,219","11,08,25,712","12,48,40,507",2015,47.027,52.973
324,American Reunion,"23,49,89,584","5,70,11,521","17,79,78,063",2012,24.261,75.739
325,Alvin and the Chipmunks: The Road Chip,"23,47,98,636","8,58,86,987","14,89,11,649",2015,36.579,63.421
326,The Imitation Game,"23,35,55,708","9,11,25,683","14,24,30,025",2014,39.017,60.983
327,The Girl with the Dragon Tattoo,"23,26,17,430","10,25,15,793","13,01,01,637",2011,44.071,55.929
328,Argo,"23,23,25,503","13,60,25,503","9,63,00,000",2012,58.550,41.450
329,Annabelle Comes Home,"23,12,52,591","7,41,52,591","15,71,00,000",2019,32.066,67.934
330,Ghostbusters,"22,91,47,509","12,83,50,574","10,07,96,935",2016,56.012,43.988
331,Goodbye Mr. Loser,"22,81,22,928","12,93,626","22,68,29,302",2015,0.567,99.433
332,Paddington 2,"22,79,78,523","4,08,91,591","18,70,86,932",2017,17.937,82.063
333,The Green Hornet,"22,78,17,248","9,87,80,042","12,90,37,206",2011,43.359,56.641
334,Youth,"22,70,91,290","18,91,956","22,51,99,334",2017,0.833,99.167
335,Baby Driver,"22,69,45,087","10,78,25,862","11,91,19,225",2017,47.512,52.488
336,Immortals,"22,69,04,017","8,35,04,017","14,34,00,000",2011,36.801,63.199
337,Hansel & Gretel: Witch Hunters,"22,63,49,749","5,57,03,475","17,06,46,274",2013,24.609,75.391
338,Better Days,"22,59,18,798","19,21,657","22,39,97,141",2019,0.851,99.149
339,Valerian and the City of a Thousand Planets,"22,58,74,228","4,11,89,488","18,46,84,740",2017,18.236,81.764
340,Ford v Ferrari,"22,55,08,210","11,76,24,357","10,78,83,853",2019,52.160,47.840
341,Non-Stop,"22,28,09,600","9,21,68,600","13,06,41,000",2014,41.367,58.633
342,Geostorm,"22,16,00,160","3,37,00,160","18,79,00,000",2017,15.208,84.792
343,Inferno,"22,00,21,259","3,43,43,574","18,56,77,685",2016,15.609,84.391
344,Green Lantern,"21,98,51,172","11,66,01,172","10,32,50,000",2011,53.036,46.964
345,Captain Phillips,"21,87,91,811","10,71,00,855","11,16,90,956",2013,48.951,51.049
346,Jack Reacher,"21,83,40,595","8,00,70,736","13,82,69,859",2012,36.672,63.328
347,The Emoji Movie,"21,77,76,646","8,60,89,513","13,16,87,133",2017,39.531,60.469
348,Dracula Untold,"21,71,24,280","5,62,80,355","16,08,43,925",2014,25.921,74.079
349,Central Intelligence,"21,69,72,543","12,74,40,871","8,95,31,672",2016,58.736,41.264
350,The Help,"21,66,39,112","16,97,08,112","4,69,31,000",2011,78.337,21.663
351,Little Women,"21,66,01,214","10,81,01,214","10,85,00,000",2019,49.908,50.092
352,Bad Teacher,"21,61,97,492","10,02,92,856","11,59,04,636",2011,46.389,53.611
353,A Little Red Flower,"21,60,00,000",0,"21,60,00,000",2020,0.000,100.000
354,The Croods: A New Age,"21,59,05,815","5,85,68,815","15,73,37,000",2020,27.127,72.873
355,Ted 2,"21,58,63,606","8,14,76,385","13,43,87,221",2015,37.744,62.256
356,Just Go with It,"21,49,45,591","10,30,28,109","11,19,17,482",2011,47.932,52.068
357,The Expendables 3,"21,46,57,577","3,93,22,544","17,53,35,033",2014,18.319,81.681
358,Creed II,"21,42,15,889","11,57,15,889","9,85,00,000",2018,54.018,45.982
359,Smallfoot,"21,40,40,103","8,32,40,103","13,08,00,000",2018,38.890,61.110
360,Into the Woods,"21,29,02,372","12,80,02,372","8,49,00,000",2014,60.123,39.877
361,Bridget Jones's Baby,"21,19,52,420","2,42,52,420","18,77,00,000",2016,11.442,88.558
362,Battle Los Angeles,"21,18,19,354","8,35,52,429","12,82,66,925",2011,39.445,60.555
363,Fury,"21,18,17,906","8,58,17,906","12,60,00,000",2014,40.515,59.485
364,Horrible Bosses,"20,98,38,559","11,75,38,559","9,23,00,000",2011,56.014,43.986
365,Us and Them,"20,92,21,380",0,"20,92,21,380",2018,0.000,100.000
366,Tomorrowland,"20,90,35,668","9,34,36,322","11,55,99,346",2015,44.699,55.301
367,Me Before You,"20,83,14,186","5,62,45,075","15,20,69,111",2016,27.000,73.000
368,Safe House,"20,80,76,205","12,63,73,434","8,17,02,771",2012,60.734,39.266
369,Paranormal Activity 3,"20,70,39,844","10,40,28,807","10,30,11,037",2011,50.246,49.754
370,London Has Fallen,"20,57,54,447","6,25,24,260","14,32,30,187",2016,30.388,69.612
371,Journey to the West,"20,56,37,183","18,058","20,56,19,125",2013,0.009,99.991
372,White House Down,"20,53,66,737","7,31,03,784","13,22,62,953",2013,35.597,64.403
373,A Dog's Purpose,"20,50,35,819","6,45,08,620","14,05,27,199",2017,31.462,68.538
374,Everest,"20,34,27,584","4,34,82,270","15,99,45,314",2015,21.375,78.625
375,Arrival,"20,33,88,186","10,05,46,139","10,28,42,047",2016,49.436,50.564
376,Need for Speed,"20,32,77,636","4,35,77,636","15,97,00,000",2014,21.437,78.563
377,The Addams Family,"20,30,44,905","10,00,44,905","10,30,00,000",2019,49.272,50.728
378,Birds of Prey,"20,18,58,461","8,41,58,461","11,77,00,000",2020,41.692,58.308
379,Straight Outta Compton,"20,16,34,991","16,11,97,785","4,04,37,206",2015,79.945,20.055
380,21 Jump Street,"20,15,85,328","13,84,47,667","6,31,37,661",2012,68.679,31.321
381,Percy Jackson: Sea of Monsters,"19,98,50,315","6,85,59,554","13,12,90,761",2013,34.305,65.695
382,Shock Wave 2,"19,89,21,659",0,"19,89,21,659",2020,0.000,100.000
383,Total Recall,"19,84,67,168","5,88,77,969","13,95,89,199",2012,29.666,70.334
384,The Island,"19,83,26,350","6,70,883","19,76,55,467",2018,0.338,99.662
385,The Impossible,"19,80,87,212","1,90,19,882","17,90,67,330",2012,9.602,90.398
386,Lost in Thailand,"19,77,57,387","57,387","19,77,00,000",2012,0.029,99.971
387,Christopher Robin,"19,77,44,377","9,92,15,042","9,85,29,335",2018,50.173,49.827
388,Jack the Giant Slayer,"19,76,87,603","6,51,87,603","13,25,00,000",2013,32.975,67.025
389,Smurfs: The Lost Village,"19,71,83,546","4,50,20,282","15,21,63,264",2017,22.832,77.168
390,The Other Woman,"19,67,10,396","8,39,11,193","11,27,99,203",2014,42.657,57.343
391,The Vow,"19,61,14,570","12,50,14,030","7,11,00,540",2012,63.745,36.255
392,The Shape of Water,"19,53,33,312","6,38,59,435","13,14,73,877",2017,32.693,67.307
393,Rocketman,"19,53,20,400","9,63,68,160","9,89,52,240",2019,49.339,50.661
394,The BFG,"19,52,43,411","5,54,83,770","13,97,59,641",2016,28.418,71.582
395,The Intern,"19,45,64,672","7,57,64,672","11,88,00,000",2015,38.941,61.059
396,Gnomeo & Juliet,"19,39,67,670","9,99,67,670","9,40,00,000",2011,51.538,48.462
397,Weathering with You,"19,39,32,489","80,56,636","18,58,75,853",2019,4.154,95.846
398,Downton Abbey,"19,37,95,496","9,68,54,135","9,69,41,361",2019,49.977,50.023
399,The Monkey King 2,"19,36,78,298","7,09,982","19,29,68,316",2016,0.367,99.633
400,The Equalizer,"19,23,30,738","10,15,30,738","9,08,00,000",2014,52.790,47.210
401,The Lego Movie 2: The Second Part,"19,23,06,508","10,58,06,508","8,65,00,000",2019,55.020,44.980
402,Sheep Without a Shepherd,"19,16,02,146",0,"19,16,02,146",2019,0.000,100.000
403,The Equalizer 2,"19,04,00,157","10,20,84,362","8,83,15,795",2018,53.616,46.384
404,The White Storm 2: Drug Lords,"18,93,96,380","6,09,461","18,87,86,919",2019,0.322,99.678
405,Breakup Buddies,"18,90,17,596","7,77,896","18,82,39,700",2014,0.412,99.588
406,The Secret Life of Walter Mitty,"18,81,33,322","5,82,36,838","12,98,96,484",2013,30.955,69.045
407,Project Gutenberg,"18,81,16,796",0,"18,81,16,796",2018,0.000,100.000
408,12 Years a Slave,"18,77,33,202","5,66,71,993","13,10,61,209",2013,30.188,69.812
409,Mr. Popper's Penguins,"18,73,61,754","6,82,24,452","11,91,37,302",2011,36.413,63.587
410,Jian Bing Man,"18,66,83,536",0,"18,66,83,536",2015,0.000,100.000
411,Hugo,"18,57,70,160","7,38,64,507","11,19,05,653",2011,39.761,60.239
412,The Lion King 2011 3D Release,"18,55,42,001","9,42,42,001","9,13,00,000",2011,50.793,49.207
413,Pitch Perfect 3,"18,54,00,345","10,48,97,530","8,05,02,815",2017,56.579,43.421
414,Hop,"18,39,53,723","10,80,85,305","7,58,68,418",2011,58.757,41.243
415,Bad Moms,"18,39,36,074","11,32,57,297","7,06,78,777",2016,61.574,38.426
416,Jupiter Ascending,"18,38,87,723","4,73,87,723","13,65,00,000",2015,25.770,74.230
417,Stand by Me Doraemon,"18,34,42,714",0,"18,34,42,714",2014,0.000,100.000
418,Storks,"18,33,88,953","7,26,79,278","11,07,09,675",2016,39.631,60.369
419,Mirror Mirror,"18,30,18,522","6,49,35,167","11,80,83,355",2012,35.480,64.520
420,From Vegas to Macau III,"18,17,32,879",0,"18,17,32,879",2016,0.000,100.000
421,Daddy's Home 2,"18,06,13,180","10,40,29,443","7,65,83,737",2017,57.598,42.402
422,Hacksaw Ridge,"18,05,63,636","6,72,09,615","11,33,54,021",2016,37.222,62.778
423,The Post,"17,97,69,457","8,19,03,458","9,78,65,999",2017,45.560,54.440
424,The Dictator,"17,93,79,533","5,96,50,222","11,97,29,311",2012,33.254,66.746
425,Allegiant,"17,92,46,868","6,61,84,051","11,30,62,817",2016,36.923,63.077
426,Abominable,"17,90,53,956","6,07,16,390","11,83,37,566",2019,33.910,66.090
427,Baywatch,"17,78,56,751","5,80,60,186","11,97,96,565",2017,32.644,67.356
428,War Horse,"17,75,84,879","7,98,84,879","9,77,00,000",2011,44.984,55.016
429,Lee Daniels' The Butler,"17,73,13,795","11,66,32,095","6,06,81,700",2013,65.777,34.223
430,The Descendants,"17,72,43,185","8,25,84,160","9,46,59,025",2011,46.594,53.406
431,The Hitman's Bodyguard,"17,65,86,701","7,54,68,583","10,11,18,118",2017,42.737,57.263
432,Looper,"17,65,06,819","6,64,86,205","11,00,20,614",2012,37.668,62.332
433,Serial (Bad) Weddings,"17,64,04,493",0,"17,64,04,493",2014,0.000,100.000
434,Ip Man 4: The Finale,"17,63,45,966","39,56,031","17,23,89,935",2019,2.243,97.757
435,The Monkey King Havoc in Heavens Palace,"17,58,35,580",0,"17,58,35,580",2014,0.000,100.000
436,Cowboys & Aliens,"17,48,22,325","10,02,40,551","7,45,81,774",2011,57.339,42.661
437,The Mule,"17,48,04,407","10,38,04,407","7,10,00,000",2018,59.383,40.617
438,Identity Thief,"17,39,65,010","13,45,06,920","3,94,58,090",2013,77.318,22.682
439,The Nutcracker and the Four Realms,"17,39,61,069","5,48,58,851","11,91,02,218",2018,31.535,68.465
440,In Time,"17,39,30,596","3,75,20,095","13,64,10,501",2011,21.572,78.428
441,Operation Mekong,"17,38,39,072","8,00,012","17,30,39,060",2016,0.460,99.540
442,Creed,"17,35,67,581","10,97,67,581","6,38,00,000",2015,63.242,36.758
443,Gemini Man,"17,34,69,516","4,85,46,770","12,49,22,746",2019,27.986,72.014
444,The Girl on the Train,"17,31,85,859","7,53,95,035","9,77,90,824",2016,43.534,56.466
445,The Grand Budapest Hotel,"17,29,36,941","5,93,01,324","11,36,35,617",2014,34.291,65.709
446,Spies in Disguise,"17,16,16,764","6,67,57,013","10,48,59,751",2019,38.899,61.101
447,John Wick: Chapter 2,"17,15,39,887","9,20,29,184","7,95,10,703",2017,53.649,46.351
448,Anchorman 2: The Legend Continues,"17,14,64,676","12,51,68,368","4,62,96,308",2013,73.000,27.000
449,Chinese Zodiac,"17,05,25,083",0,"17,05,25,083",2012,0.000,100.000
450,Olympus Has Fallen,"17,02,70,201","9,89,25,640","7,13,44,561",2013,58.099,41.901
451,Zookeeper,"16,98,52,759","8,03,60,843","8,94,91,916",2011,47.312,52.688
452,Dumb and Dumber To,"16,98,37,010","8,62,08,010","8,36,29,000",2014,50.759,49.241
453,Ghost in the Shell,"16,98,01,921","4,05,63,557","12,92,38,364",2017,23.889,76.111
454,Insidious: The Last Key,"16,78,85,588","6,77,45,330","10,01,40,258",2018,40.352,59.648
455,Fantastic Four,"16,78,82,881","5,61,17,548","11,17,65,333",2015,33.427,66.573
456,Magic Mike,"16,77,39,368","11,37,21,571","5,40,17,797",2012,67.797,32.203
457,Wonder Woman 1984,"16,65,34,027","4,65,34,027","12,00,00,000",2020,27.943,72.057
458,Bridge of Spies,"16,54,78,348","7,23,13,754","9,31,64,594",2015,43.700,56.300
459,The Muppets,"16,51,84,237","8,86,31,237","7,65,53,000",2011,53.656,46.344
460,The Huntsman: Winter's War,"16,49,89,338","4,83,90,190","11,65,99,148",2016,29.329,70.671
461,From Vegas to Macau II,"16,38,77,532",0,"16,38,77,532",2015,0.000,100.000
462,The Magnificent Seven,"16,23,60,636","9,34,32,655","6,89,27,981",2016,57.546,42.454
463,Jack Reacher: Never Go Back,"16,21,46,076","5,86,97,076","10,34,49,000",2016,36.200,63.800
464,Insidious: Chapter 2,"16,19,19,318","8,35,86,447","7,83,32,871",2013,51.622,48.378
465,Limitless,"16,18,49,455","7,92,49,455","8,26,00,000",2011,48.965,51.035
466,Flight,"16,17,72,375","9,37,72,375","6,80,00,000",2012,57.966,42.034
467,Into the Storm,"16,15,02,194","4,76,02,194","11,39,00,000",2014,29.475,70.525
468,Unbroken,"16,14,59,297","11,56,37,895","4,58,21,402",2014,71.620,28.380
469,The Sacrifice,"16,10,47,608",0,"16,10,47,608",2020,0.000,100.000
470,The Predator,"16,05,42,134","5,10,24,708","10,95,17,426",2018,31.783,68.217
471,"Three Billboards Outside Ebbing, Missouri","16,01,92,031","5,45,13,740","10,56,78,291",2017,34.030,65.970
472,Underworld: Awakening,"16,01,12,671","6,23,21,039","9,77,91,632",2012,38.923,61.077
473,Johnny English Reborn,"16,00,78,586","83,05,970","15,17,72,616",2011,5.189,94.811
474,Happy Feet Two,"15,91,96,259","6,40,06,466","9,51,89,793",2011,40.206,59.794
475,Johnny English Strikes Again,"15,89,70,776","44,12,170","15,45,58,606",2018,2.775,97.225
476,Focus,"15,87,62,963","5,38,62,963","10,49,00,000",2015,33.927,66.073
477,Goosebumps,"15,82,60,952","8,00,80,379","7,81,80,573",2015,50.600,49.400
478,Final Destination 5,"15,78,87,643","4,25,87,643","11,53,00,000",2011,26.973,73.027
479,Don't Breathe,"15,77,61,002","8,92,17,875","6,85,43,127",2016,56.553,43.447
480,Hustlers,"15,75,63,598","10,49,63,598","5,26,00,000",2019,66.617,33.383
481,Ip Man 3,"15,69,54,938","26,79,437","15,42,75,501",2015,1.707,98.293
482,The Climbers,"15,68,92,866","4,87,157","15,64,05,709",2019,0.311,99.689
483,This Means War,"15,64,91,279","5,47,60,791","10,17,30,488",2012,34.993,65.007
484,The Hateful Eight,"15,57,60,117","5,41,17,416","10,16,42,701",2015,34.744,65.256
485,Escape Room,"15,57,12,077","5,70,05,601","9,87,06,476",2019,36.610,63.390
486,The Monuments Men,"15,56,41,650","7,80,31,620","7,76,10,030",2014,50.135,49.865
487,The Accountant,"15,51,60,045","8,62,60,045","6,89,00,000",2016,55.594,44.406
488,Lone Survivor,"15,48,02,912","12,50,95,601","2,97,07,311",2013,80.810,19.190
489,Yesterday,"15,46,08,507","7,32,86,650","8,13,21,857",2019,47.401,52.599
490,Ride Along,"15,44,68,902","13,49,38,200","1,95,30,702",2014,87.356,12.644
491,Monkey King: Hero Is Back,"15,32,62,397",0,"15,32,62,397",2015,0.000,100.000
492,Tower Heist,"15,29,30,623","7,80,46,570","7,48,84,053",2011,51.034,48.966
493,Duckweed,"15,28,94,264","4,71,575","15,24,22,689",2017,0.308,99.692
494,Bad Grandpa,"15,18,26,547","10,20,03,019","4,98,23,528",2013,67.184,32.816
495,47 Ronin,"15,17,83,839","3,83,62,475","11,34,21,364",2013,25.274,74.726
496,Midnight in Paris,"15,16,72,318","5,68,17,045","9,48,55,273",2011,37.460,62.540
497,Red Sparrow,"15,15,72,634","4,68,74,505","10,46,98,129",2018,30.925,69.075
498,Darkest Hour,"15,08,47,207","5,64,68,410","9,43,78,797",2017,37.434,62.566
499,Gods of Egypt,"15,06,80,864","3,11,53,464","11,95,27,400",2015,20.675,79.325
500,I Am Number Four,"14,98,78,437","5,51,00,437","9,47,78,000",2011,36.763,63.237
501,Jack and Jill,"14,96,73,788","7,41,58,157","7,55,15,631",2011,49.547,50.453
502,Friends with Benefits,"14,95,42,245","5,58,02,754","9,37,39,491",2011,37.316,62.684
503,No Strings Attached,"14,92,28,077","7,06,62,220","7,85,65,857",2011,47.352,52.648
504,Lights Out,"14,88,68,835","6,72,68,835","8,16,00,000",2016,45.187,54.813
505,King Arthur: Legend of the Sword,"14,86,75,066","3,91,75,066","10,95,00,000",2017,26.349,73.651
506,RED 2,"14,80,75,565","5,32,62,560","9,48,13,005",2013,35.970,64.030
507,The Angry Birds Movie 2,"14,77,92,047","4,16,67,116","10,61,24,931",2019,28.193,71.807
508,Arthur Christmas,"14,74,19,472","4,64,62,469","10,09,57,003",2011,31.517,68.483
509,Source Code,"14,73,32,697","5,47,12,227","9,26,20,470",2011,37.135,62.865
510,Planes: Fire & Rescue,"14,69,65,787","5,91,65,787","8,78,00,000",2014,40.258,59.742
511,The Last Witch Hunter,"14,69,36,910","2,73,67,660","11,95,69,250",2015,18.625,81.375
512,Angel Has Fallen,"14,66,61,977","6,90,30,436","7,76,31,541",2019,47.068,52.932
513,Mama,"14,64,28,180","7,16,28,180","7,48,00,000",2013,48.917,51.083
514,Time Raiders,"14,58,19,137",0,"14,58,19,137",2016,0.000,100.000
515,The Foreigner,"14,53,74,099","3,43,93,507","11,09,80,592",2017,23.659,76.341
516,"Crazy, Stupid, Love.","14,50,51,197","8,43,51,197","6,07,00,000",2011,58.153,41.847
517,Pete's Dragon,"14,36,95,338","7,62,33,151","6,74,62,187",2016,53.052,46.948
518,The Invisible Man,"14,31,51,000","7,04,10,000","7,27,41,000",2020,49.186,50.814
519,More Than Blue,"14,29,58,164","7,22,669","14,22,35,495",2018,0.506,99.494
520,Paranormal Activity 4,"14,28,02,657","5,38,85,000","8,89,17,657",2012,37.734,62.266
521,Power Rangers,"14,23,37,240","8,53,64,450","5,69,72,790",2017,59.973,40.027
522,New Year's Eve,"14,20,44,638","5,45,44,638","8,75,00,000",2011,38.400,61.600
523,Onward,"14,19,40,042","6,15,55,145","8,03,84,897",2020,43.367,56.633
524,The Taking of Tiger Mountain,"14,16,54,055","2,28,984","14,14,25,071",2014,0.162,99.838
525,Trainwreck,"14,07,95,793","11,02,12,700","3,05,83,093",2015,78.278,21.722
526,Sausage Party,"14,07,05,322","9,76,85,686","4,30,19,636",2016,69.426,30.574
527,Girls Trip,"14,05,52,359","11,51,71,585","2,53,80,774",2017,81.942,18.058
528,Step Up Revolution,"14,04,70,746","3,50,74,677","10,53,96,069",2012,24.969,75.031
529,Lion,"14,03,12,928","5,17,38,905","8,85,74,023",2016,36.874,63.126
530,Mr. Six,"13,91,91,345","14,15,450","13,77,75,895",2015,1.017,98.983
531,The Admiral: Roaring Currents,"13,83,42,258","25,89,811","13,57,52,447",2014,1.872,98.128
532,Let's Be Cops,"13,82,24,951","8,23,90,774","5,58,34,177",2014,59.606,40.394
533,Escape Plan,"13,73,28,301","2,51,35,965","11,21,92,336",2013,18.304,81.696
534,The First Purge,"13,70,56,262","6,94,88,745","6,75,67,517",2018,50.701,49.299
535,Annie,"13,68,53,506","8,59,11,262","5,09,42,244",2014,62.776,37.224
536,The Best Exotic Marigold Hotel,"13,68,36,156","4,64,12,041","9,04,24,115",2012,33.918,66.082
537,How Long Will I Love U,"13,67,96,719","7,46,933","13,60,49,786",2018,0.546,99.454
538,Skiptrace,"13,65,79,287",0,"13,65,79,287",2016,0.000,100.000
539,Contagion,"13,65,15,867","7,56,58,097","6,08,57,770",2011,55.421,44.579
540,The Wind Rises,"13,64,54,220","52,09,580","13,12,44,640",2012,3.818,96.182
541,Unknown,"13,57,10,029","6,36,86,397","7,20,23,632",2011,46.928,53.072
542,Jack Ryan: Shadow Recruit,"13,55,03,748","5,05,77,412","8,49,26,336",2014,37.325,62.675
543,American Made,"13,48,66,593","5,13,42,000","8,35,24,593",2017,38.069,61.931
544,Last Vegas,"13,44,02,450","6,39,14,167","7,04,88,283",2012,47.554,52.446
545,Point Break,"13,37,18,711","2,87,82,481","10,49,36,230",2015,21.525,78.475
546,The Big Short,"13,34,40,870","7,02,59,870","6,31,81,000",2015,52.652,47.348
547,The Artist,"13,34,32,856","4,46,71,682","8,87,61,174",2011,33.479,66.521
548,Zero Dark Thirty,"13,28,20,716","9,57,20,716","3,71,00,000",2012,72.068,27.932
549,A Wrinkle in Time,"13,26,75,864","10,04,78,608","3,21,97,256",2018,75.732,24.268
550,Ghost Rider: Spirit of Vengeance,"13,25,63,930","5,17,74,002","8,07,89,928",2012,39.056,60.944
551,The Three Musketeers,"13,22,74,484","2,03,74,484","11,19,00,000",2011,15.403,84.597
552,2 Guns,"13,19,40,411","7,56,12,460","5,63,27,951",2013,57.308,42.692
553,The House with a Clock in Its Walls,"13,14,57,147","6,85,49,695","6,29,07,452",2018,52.146,47.854
554,A Bad Moms Christmas,"13,05,60,428","7,21,10,659","5,84,49,769",2017,55.232,44.768
555,Cloud Atlas,"13,04,82,868","2,71,08,272","10,33,74,596",2012,20.775,79.225
556,Warm Hug,"12,92,40,236",0,"12,92,40,236",2020,0.000,100.000
557,The Woman in Black,"12,89,55,898","5,43,33,290","7,46,22,608",2012,42.133,57.867
558,Pan,"12,83,88,320","3,50,88,320","9,33,00,000",2015,27.330,72.670
559,Blended,"12,79,94,610","4,62,94,610","8,17,00,000",2014,36.169,63.831
560,Ad Astra,"12,74,61,872","5,01,88,370","7,72,73,502",2019,39.375,60.625
561,Midway,"12,74,20,861","5,68,46,802","7,05,74,059",2019,44.613,55.387
562,Chronicle,"12,66,36,097","6,45,75,175","6,20,60,922",2012,50.993,49.007
563,Walking with Dinosaurs 3D,"12,65,46,518","3,60,76,121","9,04,70,397",2012,28.508,71.492
564,Sex Tape,"12,60,69,509","3,85,43,473","8,75,26,036",2014,30.573,69.427
565,This Is the End,"12,60,41,322","10,14,70,202","2,45,71,120",2013,80.506,19.494
566,The Upside,"12,58,52,517","10,82,52,517","1,76,00,000",2019,86.015,13.985
567,Detective Chinatown,"12,58,42,935","4,74,252","12,53,68,683",2015,0.377,99.623
568,Wolf Totem,"12,58,37,070","2,10,591","12,56,26,479",2015,0.167,99.833
569,Mechanic: Resurrection,"12,57,29,635","2,12,18,403","10,45,11,232",2016,16.876,83.124
570,Ender's Game,"12,55,44,024","6,17,37,191","6,38,06,833",2013,49.176,50.824
571,Happy Death Day,"12,54,79,266","5,56,83,845","6,97,95,421",2017,44.377,55.623
572,Captain Underpants: The First Epic Movie,"12,54,27,681","7,39,21,000","5,15,06,681",2017,58.935,41.065
573,Ride Along 2,"12,46,05,297","9,12,21,830","3,33,83,467",2015,73.209,26.791
574,The Theory of Everything,"12,37,26,688","3,58,93,537","8,78,33,151",2014,29.010,70.990
575,The Curse of La Llorona,"12,31,33,739","5,47,33,739","6,84,00,000",2019,44.451,55.549
576,The Lego Ninjago Movie,"12,30,81,555","5,92,81,555","6,38,00,000",2017,48.164,51.836
577,The Pirates! Band of Misfits,"12,30,54,041","3,10,51,126","9,20,02,915",2012,25.234,74.766
578,Looking Up,"12,29,94,583","84,267","12,29,10,316",2019,0.069,99.931
579,Zombieland: Double Tap,"12,28,10,399","7,31,23,082","4,96,87,317",2019,59.541,40.459
580,Dragon Blade,"12,25,93,849","74,068","12,25,19,781",2015,0.060,99.940
581,Prisoners,"12,21,26,687","6,10,02,302","6,11,24,385",2013,49.950,50.050
582,Secret Superstar,"12,20,26,260",0,"12,20,26,260",2017,0.000,100.000
583,Deepwater Horizon,"12,17,90,373","6,14,33,527","6,03,56,846",2016,50.442,49.558
584,Last Christmas,"12,15,50,750","3,51,50,750","8,64,00,000",2019,28.919,71.081
585,Soul,"12,09,57,731",0,"12,09,57,731",2020,0.000,100.000
586,The Nut Job,"12,08,85,527","6,42,51,541","5,66,33,986",2014,53.151,46.849
587,Instant Family,"12,05,56,201","6,73,63,237","5,31,92,964",2018,55.877,44.123
588,We Bought a Zoo,"12,00,81,841","7,56,24,550","4,44,57,291",2011,62.978,37.022
